"DMU","Ano","Locos","Vagoes","NTF","TKU","CCL"
"RMN",2012,405,7267.916666,3201,19450932279,173748304.974393
"RMN",2013,199.916666,5223,3580,20594069333,181437037.463547
"RMN",2014,188.5,5357.083333,3407,22948406067,194405909.649733
"RMN",2015,194.833333,5425.5,3667,26110073358,204425126.804277
"RMN",2016,184.25,5149.5,3033,22997635090,168632608.58445
"RMN",2017,193.75,6160.083333,3939,31662704399,214280647.454547
"RMN",2018,200.5,7051.416666,4633,35919208072,231046542.339811
"RMN",2019,204.083333,8502.75,4869,38495569857,234807679.970733
"RMN",2020,192.083333,8333.666666,5667,39208917687,213619169.030059
"RMN",2021,184.333333,8134.75,6527,37333463535,50900353.5285587
"RMN",2022,191.833333,8792.75,7006,43975681494,53928981.8494911
"RMN",2023,187.166666,9033.916666,6417,44878831125,49533417.9297477
"RMN",2024,194.583333,9016.083333,7901,47984794035,59967407.5819112
"RMN",2025,187.833333,8424.5,7493,50660554916,68055787.1567184
"RMO",2006,57.166666,1694.166666,5591,1432404792,18278686.9333838
"RMO",2007,57.166666,1731.916666,5673,1202821282,15381275.5154001
"RMO",2008,57.833333,2465.333333,15108,1344987162,15842926.6269477
"RMO",2009,48.916666,2564.416666,12000,1311870167,16218846.9258029
"RMO",2010,79.583333,3153.916666,16299,1782771916,19168255.7597737
"RMO",2011,93.5,3247.25,12140,1760305021,17703284.6160318
"RMO",2012,86.666666,3138.083333,7314,1702951126,18910146.7361535
"RMO",2013,63.25,1268.166666,6446,1482588308,23596253.8031998
"RMO",2014,70.583333,1315.333333,7346,1517869051,23989188.8264658
"RMO",2015,48,1124.5,5756,1066902044,19714531.8211293
"RMO",2016,38.25,880.166666,5130,797028648,15857547.6832909
"RMO",2017,40.583333,896.166666,5342,857703073,15872649.9877361
"RMO",2018,34.083333,1006.333333,5253,879425233,15625007.702747
"RMO",2019,34.5,946.5,4349,819509527,12310569.0978524
"RMO",2020,33.166666,752.75,3144,468508185,7641478.8792135
"RMO",2021,34.083333,810.833333,3762,577906280,8671959.75571398
"RMO",2022,27.833333,334.5,3044,184259801,2700772.89047225
"RMO",2023,30.583333,268.083333,2359,148601994,2412663.82826654
"RMO",2024,15.583333,235.272727,2314,101405934,1828466.4701147
"RMO",2025,13.416666,241.5,2337,107615971,2147495.82731036
"RMP",2006,91.75,2907.083333,4906,2232486932,15462923.7510332
"RMP",2007,86.083333,3298.083333,7871,1909168479,11685997.1443256
"RMP",2008,141.416666,7504.916666,29546,3054204614,14612634.6610814
"RMP",2009,154.333333,7670.666666,25709,3018775888,11187044.2691094
"RMP",2010,145.5,9166.75,29175,4003517898,22008490.5344513
"RMP",2011,172.75,10317.916666,20110,4688462098,28538071.1485143
"RMP",2012,176.833333,10125.666666,9894,4228265426,21368516.3198894
"RMP",2013,312.25,3205.75,7448,3910513521,20029109.1210544
"RMP",2014,284.583333,3418.75,7331,3905702011,23376862.5562458
"RMP",2015,282.666666,3343,6446,3667114827,25399441.868226
"RMP",2016,276.083333,4707.083333,6542,4555559268,35202539.6435522
"RMP",2017,257,3698.666666,6737,3443987052,25429101.9255621
"RMP",2018,286.666666,4310.5,7623,4979735715,33103381.1660964
"RMP",2019,280.75,3753.5,7827,6283107751,35764376.5328298
"RMP",2020,259.583333,4401.833333,10259,8414333465,47616313.759384
"RMP",2021,271,4068.25,19600,8778191851,80110437.9008422
"RMP",2022,278.083333,2979,21999,7833816901,73809466.9771364
"RMP",2023,301.333333,3382.416666,19485,7863275707,66677363.2926871
